service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
41882,1,1,1,1,0,0,0,20150128,20150331
41883,0,0,0,0,1,1,0,20150128,20150331
41886,0,0,0,0,0,0,1,20150128,20150331
41987,1,1,1,0,0,0,0,20150128,20150331
41989,0,0,0,1,0,0,0,20150128,20150331
41994,0,0,0,1,0,0,0,20150128,20150331
41996,0,0,0,0,1,1,0,20150128,20150331
41998,0,0,0,0,0,0,1,20150128,20150331
42083,0,0,0,0,1,0,0,20150128,20150331
42085,0,0,0,0,0,1,0,20150128,20150331
42138,0,0,0,0,1,1,0,20150128,20150331
26656,1,1,1,1,1,0,0,20150128,20150331
26949,0,0,0,0,0,0,1,20150128,20150331
36384,0,0,0,0,0,1,0,20150128,20150331
36479,1,1,1,1,1,0,0,20150128,20150331
38501,0,0,0,0,0,1,0,20150128,20150331
42664,1,1,1,1,1,0,0,20150128,20150331
40064,1,1,1,1,1,0,0,20150128,20150331
38504,0,0,0,0,0,0,1,20150128,20150331
42665,1,1,1,1,1,0,0,20150128,20150331
40074,1,1,1,1,1,1,1,20150128,20150331
42653,1,0,0,0,0,0,0,20150128,20150331
42666,1,1,1,1,1,0,0,20150128,20150331
42652,0,1,0,0,0,0,0,20150128,20150331
42651,1,0,0,0,0,0,0,20150128,20150331
16233,0,0,0,0,0,0,1,20150128,20150331
40450,0,0,1,1,1,0,0,20150128,20150331
16092,1,1,1,1,1,0,0,20150128,20150331
36489,0,0,0,0,0,1,0,20150128,20150331
39389,0,0,0,0,0,0,1,20150128,20150331
38274,1,1,1,1,1,1,1,20150128,20150331
38253,1,1,1,1,1,1,1,20150128,20150331
38742,1,1,1,1,1,0,0,20150128,20150331
40622,1,1,1,1,1,1,1,20150128,20150331
36238,1,1,1,1,1,0,0,20150128,20150331
38827,0,0,0,0,0,0,1,20150128,20150331
38832,0,0,0,0,0,1,0,20150128,20150331
38754,1,1,1,1,1,0,0,20150128,20150331
38824,0,0,0,0,0,1,0,20150128,20150331
14741,1,1,1,1,1,0,0,20150128,20150331
16203,0,0,0,0,0,1,0,20150128,20150331
38835,0,0,0,0,0,0,1,20150128,20150331
38881,1,1,1,1,1,0,0,20150128,20150331
28960,0,0,0,0,0,0,1,20150128,20150331
42571,1,1,1,1,1,0,0,20150128,20150331
