service_id,date,exception_type
16092,20150202,2
36489,20150202,2
40450,20150202,2
42651,20150202,2
42652,20150202,2
16233,20150202,1
39389,20150202,1
26656,20150202,2
36384,20150202,2
26949,20150202,1
16092,20150205,2
36489,20150205,2
40450,20150205,2
42651,20150205,2
42652,20150205,2
16233,20150205,1
39389,20150205,1
16092,20150316,2
36489,20150316,2
40450,20150316,2
42651,20150316,2
42652,20150316,2
16233,20150316,1
39389,20150316,1
26656,20150316,2
36384,20150316,2
26949,20150316,1
16092,20150321,2
36489,20150321,2
40450,20150321,2
42651,20150321,2
42652,20150321,2
16233,20150321,1
39389,20150321,1
